origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.8,2345.056656
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.8,2360.591015
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.8,2369.894067
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.85,2355.718265
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.85,2386.319157
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.85,2403.499497
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.85,2413.646239
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.9,2394.884441
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.9,2428.905955
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.9,2447.785103
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.9,2458.802612
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.95,2435.559465
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.95,2473.133379
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.95,2493.77678
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.95,2505.698602
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.975,2456.571801
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.975,2495.980851
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.975,2517.535649
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.975,2529.924631
2026/3/18,ILI incidence,2026/3/15,1,AT,quantile,0.99,2469.424578
2026/3/18,ILI incidence,2026/3/22,2,AT,quantile,0.99,2509.956139
2026/3/18,ILI incidence,2026/3/29,3,AT,quantile,0.99,2532.068418
2026/3/18,ILI incidence,2026/4/5,4,AT,quantile,0.99,2544.743151
2026/3/18,ILI incidence,2026/3/15,1,AT,median,,2104.124949
2026/3/18,ILI incidence,2026/3/22,2,AT,median,,2112.752656
2026/3/18,ILI incidence,2026/3/29,3,AT,median,,2119.020296
2026/3/18,ILI incidence,2026/4/5,4,AT,median,,2123.573455
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.01,0
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.01,0
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.01,0
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.01,0
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.025,2.738039884
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.025,0
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.025,0
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.025,0
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.05,7.820125954
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.05,0
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.05,0
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.05,0
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.1,17.65786969
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.1,0.054203932
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.1,0
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.1,0
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.15,27.13068018
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.15,11.78035251
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.15,8.24376006
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.15,13.40645452
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.2,36.3089202
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.2,23.14185988
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.2,21.19475251
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.2,27.45601901
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.25,45.25105563
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.25,34.21109945
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.25,33.81258863
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.25,41.14416709
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.3,54.00694324
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.3,45.04978763
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.3,46.16761903
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.3,54.54721685
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.35,62.62020106
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.35,55.71191805
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.35,58.32139107
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.35,67.73193647
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.4,71.12998536
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.4,66.24596126
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.4,70.32915639
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.4,80.75826428
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.45,79.57238149
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.45,76.6965864
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.45,82.24183336
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.45,93.68143786
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.5,87.98154811
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.5,87.10607757
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.5,94.1076217
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.5,106.5537455
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.55,96.39071473
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.55,97.51556875
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.55,105.97341
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.55,119.4260531
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.6,104.8331109
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.6,107.9661939
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.6,117.886087
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.6,132.3492266
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.65,113.3428951
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.65,118.5002371
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.65,129.8938523
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.65,145.3755544
